unique_ID,short_cite,expt_num,expt_condition,is_correct,is_mp,long_cite,peer_reviewed,publication_status,coder,response_mode,exposure_phase,method,dependent_measure,participant_design,same_infant,native_lang,test_lang,infant_type,group_name_1,group_name_2,n_1,n_2,n_excluded_1,n_excluded_2,n_fussi_1,gender_1,gender_2,mean_age_1,mean_age_months,min_age_1,max_age_1,mean_age_2,age_range_1,age_range_2,row label,x_1_label,x_2_label,x_2_misptype,x_1,x_2,SD_1,SD_2,SE_1,SE_2,x_type,chance,x_from_graph,t,t_interact,F,d,d_var,corr,num_trials,percent_MP,mean_vocab,words,word_correct_and_MP,n_feature,type_feature,mispron_location,within_sentence,sentence_context,object_pair,distractor_overlap,offset,within_measure,pre_nam_dur,post_nam_dur,trial_length,visual_stim,visual_stim_background
2,White & Morgan (2008),3,place+voice,0,1,"White, K. S., & Morgan, J. L. (2008). Sub-segmental detail in early lexical representations. Journal of Memory and Language, 59(1), 114-132.",yes,paper,Von Holzen,eye-tracking,testOnly,looking_while_listening,ptl,within_one,3_19mos,American English,native,typical,,,30,,10,,2,0.5666666667,,584,19.18528252,,,,,,consonant_misp,misp,,,0.01,0,0.1956151991,,,,proportion_change_pre_post,0,no,0.31,2.83,,,,,15,0.6,NA,"car, balloon, bird, bottle, hand, shoe, foot, banana, sock, hat, ball, dog, fish, door, flower",no,2,consonant,onset,yes,Were's the X?,familiar_novel,no,0,pre_post_naming_effect,4,3,9,color_drawing,white
2,White & Morgan (2008),3,voice+manner,0,1,"White, K. S., & Morgan, J. L. (2008). Sub-segmental detail in early lexical representations. Journal of Memory and Language, 59(1), 114-132.",yes,paper,Von Holzen,eye-tracking,testOnly,looking_while_listening,ptl,within_one,3_19mos,American English,native,typical,,,30,,10,,2,0.5666666667,,584,19.18528252,,,,,,consonant_misp,misp,,,-0.01,0,-0.2095877133,,,,proportion_change_pre_post,0,no,-0.34,2.62,,,,,15,0.6,NA,"car, balloon, bird, bottle, hand, shoe, foot, banana, sock, hat, ball, dog, fish, door, flower",no,2,consonant,onset,yes,Were's the X?,familiar_novel,no,0,pre_post_naming_effect,4,3,9,color_drawing,white
2,White & Morgan (2008),3,manner+place,0,1,"White, K. S., & Morgan, J. L. (2008). Sub-segmental detail in early lexical representations. Journal of Memory and Language, 59(1), 114-132.",yes,paper,Von Holzen,eye-tracking,testOnly,looking_while_listening,ptl,within_one,3_19mos,American English,native,typical,,,30,,10,,2,0.5666666667,,584,19.18528252,,,,,,consonant_misp,misp,,,-0.01,0,0.1816426849,,,,proportion_change_pre_post,0,no,-0.35,3.9,,,,,15,0.6,NA,"car, balloon, bird, bottle, hand, shoe, foot, banana, sock, hat, ball, dog, fish, door, flower",no,2,consonant,onset,yes,Were's the X?,familiar_novel,no,0,pre_post_naming_effect,4,3,9,color_drawing,white
3,"Mani, Coleman, & Plunkett (2008)",1,correct_ptl,1,0,"Mani, N., Coleman, J., & Plunkett, K. (2008). Phonological specificity of vocalic features at 18 months. Language and Speech, 51,3–21.",yes,paper,Von Holzen,eye-tracking,testOnly,looking_while_listening,ptl,within_two,18mos,British English,native,typical,,,59,,15,,,,,558.2696,18.34,535.744,590.536,,54.792,,correct,correct,,,,,,,,,proportion_change_pre_post,,no,-2.14,,,,,,5,0.6,NA,"ball, bed, bib, dog, brush, bus",no,0,vowel,medial,no,Look! X! (no article),familiar_familiar,onset,367,pre_post,2.5,2.5,5,photo,NA
3,"Mani, Coleman, & Plunkett (2008)",1,height_ptl,0,1,"Mani, N., Coleman, J., & Plunkett, K. (2008). Phonological specificity of vocalic features at 18 months. Language and Speech, 51,3–21.",yes,paper,Von Holzen,eye-tracking,testOnly,looking_while_listening,ptl,within_two,18mos,British English,native,typical,,,59,,15,,,,,558.2696,18.34,535.744,590.536,,54.792,,vowel_misp,misp,,,,,,,,,proportion_change_pre_post,,no,1.603,2.657,,,,,5,0.6,NA,"ball, bed, bib, dog, brush, bus",no,1,vowel,medial,no,Look! X! (no article),familiar_familiar,onset,367,pre_post,2.5,2.5,5,photo,NA
3,"Mani, Coleman, & Plunkett (2008)",1,backness_ptl,0,1,"Mani, N., Coleman, J., & Plunkett, K. (2008). Phonological specificity of vocalic features at 18 months. Language and Speech, 51,3–21.",yes,paper,Von Holzen,eye-tracking,testOnly,looking_while_listening,ptl,within_two,18mos,British English,native,typical,,,59,,15,,,,,558.2696,18.34,535.744,590.536,,54.792,,vowel_misp,misp,,,,,,,,,proportion_change_pre_post,,no,0.393,1.663,,,,,5,0.6,NA,"ball, bed, bib, dog, brush, bus",no,1,vowel,medial,no,Look! X! (no article),familiar_familiar,onset,367,pre_post,2.5,2.5,5,photo,NA
3,"Mani, Coleman, & Plunkett (2008)",1,roundness_ptl,0,1,"Mani, N., Coleman, J., & Plunkett, K. (2008). Phonological specificity of vocalic features at 18 months. Language and Speech, 51,3–21.",yes,paper,Von Holzen,eye-tracking,testOnly,looking_while_listening,ptl,within_two,18mos,British English,native,typical,,,59,,15,,,,,558.2696,18.34,535.744,590.536,,54.792,,vowel_misp,misp,,,,,,,,,proportion_change_pre_post,,no,-2.05,-0.11,,,,,5,0.6,NA,"ball, bed, bib, dog, brush, bus",no,1,vowel,medial,no,Look! X! (no article),familiar_familiar,onset,367,pre_post,2.5,2.5,5,photo,NA
4,Bailey & Plunkett (2002),1,correct_18mos_early,1,0,"Bailey, T. M., & Plunkett, K. (2002). Phonological specificity in early words. Cognitive Development, 17, 1267–1284.",yes,paper,Von Holzen,eye-tracking,testOnly,looking_while_listening,llk,within_two,18mos,British English,native,typical,,,24,,,,,0.375,,563.14,18.5,541.832,581.404,,39.572,,correct,correct,,,11,523,,,,,,,no,,,,,,,24,0.666666667,,"bath, bib, bike, bird, boot, brush, bus, coat, cup, dog, doll, face, fish, frog, girl, goose, juice, leg, milk, mouse, mouth, plane, plate, sheep, shirt, shorts, sink, slide, swing, watch",yes,0,consonant,onset,no,Look! X! (no article),familiar_familiar,rhyme,400,pre_post,2.75,2.75,5.5,photo,NA
4,Bailey & Plunkett (2002),1,1off_18mos_early,0,1,"Bailey, T. M., & Plunkett, K. (2002). Phonological specificity in early words. Cognitive Development, 17, 1267–1284.",yes,paper,Von Holzen,eye-tracking,testOnly,looking_while_listening,llk,within_two,18mos,British English,native,typical,,,24,,,,,0.375,,563.14,18.5,541.832,581.404,,39.572,,consonant_misp,misp,,,8,276,,,,,,,no,,,,,,,24,0.666666667,,"bath, bib, bike, bird, boot, brush, bus, coat, cup, dog, doll, face, fish, frog, girl, goose, juice, leg, milk, mouse, mouth, plane, plate, sheep, shirt, shorts, sink, slide, swing, watch",yes,1,consonant,onset,no,Look! X! (no article),familiar_familiar,rhyme,400,pre_post,2.75,2.75,5.5,photo,NA
4,Bailey & Plunkett (2002),1,2off_18mos_early,0,1,"Bailey, T. M., & Plunkett, K. (2002). Phonological specificity in early words. Cognitive Development, 17, 1267–1284.",yes,paper,Von Holzen,eye-tracking,testOnly,looking_while_listening,llk,within_two,18mos,British English,native,typical,,,24,,,,,0.375,,563.14,18.5,541.832,581.404,,39.572,,consonant_misp,misp,,,139,79,,,,,,,no,,,,,,,24,0.666666667,,"bath, bib, bike, bird, boot, brush, bus, coat, cup, dog, doll, face, fish, frog, girl, goose, juice, leg, milk, mouse, mouth, plane, plate, sheep, shirt, shorts, sink, slide, swing, watch",yes,2,consonant,onset,no,Look! X! (no article),familiar_familiar,rhyme,400,pre_post,2.75,2.75,5.5,photo,NA
4,Bailey & Plunkett (2002),1,correct_18mos_recent,1,0,"Bailey, T. M., & Plunkett, K. (2002). Phonological specificity in early words. Cognitive Development, 17, 1267–1284.",yes,paper,Von Holzen,eye-tracking,testOnly,looking_while_listening,llk,within_two,18mos,British English,native,typical,,,24,,,,,0.375,,563.14,18.5,541.832,581.404,,39.572,,correct,correct,,,-86,624,,,,,,,no,,,,,,,24,0.666666667,,"bath, bib, bike, bird, boot, brush, bus, coat, cup, dog, doll, face, fish, frog, girl, goose, juice, leg, milk, mouse, mouth, plane, plate, sheep, shirt, shorts, sink, slide, swing, watch",yes,0,consonant,onset,no,Look! X! (no article),familiar_familiar,rhyme,400,pre_post,2.75,2.75,5.5,photo,NA
4,Bailey & Plunkett (2002),1,1off_18mos_recent,0,1,"Bailey, T. M., & Plunkett, K. (2002). Phonological specificity in early words. Cognitive Development, 17, 1267–1284.",yes,paper,Von Holzen,eye-tracking,testOnly,looking_while_listening,llk,within_two,18mos,British English,native,typical,,,24,,,,,0.375,,563.14,18.5,541.832,581.404,,39.572,,consonant_misp,misp,,,85,253,,,,,,,no,,,,,,,24,0.666666667,,"bath, bib, bike, bird, boot, brush, bus, coat, cup, dog, doll, face, fish, frog, girl, goose, juice, leg, milk, mouse, mouth, plane, plate, sheep, shirt, shorts, sink, slide, swing, watch",yes,1,consonant,onset,no,Look! X! (no article),familiar_familiar,rhyme,400,pre_post,2.75,2.75,5.5,photo,NA
4,Bailey & Plunkett (2002),1,2off_18mos_recent,0,1,"Bailey, T. M., & Plunkett, K. (2002). Phonological specificity in early words. Cognitive Development, 17, 1267–1284.",yes,paper,Von Holzen,eye-tracking,testOnly,looking_while_listening,llk,within_two,18mos,British English,native,typical,,,24,,,,,0.375,,563.14,18.5,541.832,581.404,,39.572,,consonant_misp,misp,,,154,560,,,,,,,no,,,,,,,24,0.666666667,,"bath, bib, bike, bird, boot, brush, bus, coat, cup, dog, doll, face, fish, frog, girl, goose, juice, leg, milk, mouse, mouth, plane, plate, sheep, shirt, shorts, sink, slide, swing, watch",yes,2,consonant,onset,no,Look! X! (no article),familiar_familiar,rhyme,400,pre_post,2.75,2.75,5.5,photo,NA
4,Bailey & Plunkett (2002),1,correct_24mos_early,1,0,"Bailey, T. M., & Plunkett, K. (2002). Phonological specificity in early words. Cognitive Development, 17, 1267–1284.",yes,paper,Von Holzen,eye-tracking,testOnly,looking_while_listening,llk,within_two,24mos,British English,native,typical,,,24,,,,,0.458,,757.956,24.9,715.34,858.408,,143.068,,correct,correct,,,-212,711,,,,,,,no,,,,,,,24,0.666666667,,"bath, bib, bike, bird, boot, brush, bus, coat, cup, dog, doll, face, fish, frog, girl, goose, juice, leg, milk, mouse, mouth, plane, plate, sheep, shirt, shorts, sink, slide, swing, watch",yes,0,consonant,onset,no,Look! X! (no article),familiar_familiar,rhyme,400,pre_post,2.75,2.75,5.5,photo,NA
4,Bailey & Plunkett (2002),1,1off_24mos_early,0,1,"Bailey, T. M., & Plunkett, K. (2002). Phonological specificity in early words. Cognitive Development, 17, 1267–1284.",yes,paper,Von Holzen,eye-tracking,testOnly,looking_while_listening,llk,within_two,24mos,British English,native,typical,,,24,,,,,0.458,,757.956,24.9,715.34,858.408,,143.068,,consonant_misp,misp,,,77,351,,,,,,,no,,,,,,,24,0.666666667,,"bath, bib, bike, bird, boot, brush, bus, coat, cup, dog, doll, face, fish, frog, girl, goose, juice, leg, milk, mouse, mouth, plane, plate, sheep, shirt, shorts, sink, slide, swing, watch",yes,1,consonant,onset,no,Look! X! (no article),familiar_familiar,rhyme,400,pre_post,2.75,2.75,5.5,photo,NA
4,Bailey & Plunkett (2002),1,2off_24mos_early,0,1,"Bailey, T. M., & Plunkett, K. (2002). Phonological specificity in early words. Cognitive Development, 17, 1267–1284.",yes,paper,Von Holzen,eye-tracking,testOnly,looking_while_listening,llk,within_two,24mos,British English,native,typical,,,24,,,,,0.458,,757.956,24.9,715.34,858.408,,143.068,,consonant_misp,misp,,,-23,195,,,,,,,no,,,,,,,24,0.666666667,,"bath, bib, bike, bird, boot, brush, bus, coat, cup, dog, doll, face, fish, frog, girl, goose, juice, leg, milk, mouse, mouth, plane, plate, sheep, shirt, shorts, sink, slide, swing, watch",yes,2,consonant,onset,no,Look! X! (no article),familiar_familiar,rhyme,400,pre_post,2.75,2.75,5.5,photo,NA
4,Bailey & Plunkett (2002),1,correct_24mos_recent,1,0,"Bailey, T. M., & Plunkett, K. (2002). Phonological specificity in early words. Cognitive Development, 17, 1267–1284.",yes,paper,Von Holzen,eye-tracking,testOnly,looking_while_listening,llk,within_two,24mos,British English,native,typical,,,24,,,,,0.458,,757.956,24.9,715.34,858.408,,143.068,,correct,correct,,,183,440,,,,,,,no,,,,,,,24,0.666666667,,"bath, bib, bike, bird, boot, brush, bus, coat, cup, dog, doll, face, fish, frog, girl, goose, juice, leg, milk, mouse, mouth, plane, plate, sheep, shirt, shorts, sink, slide, swing, watch",yes,0,consonant,onset,no,Look! X! (no article),familiar_familiar,rhyme,400,pre_post,2.75,2.75,5.5,photo,NA
4,Bailey & Plunkett (2002),1,1off_24mos_recent,0,1,"Bailey, T. M., & Plunkett, K. (2002). Phonological specificity in early words. Cognitive Development, 17, 1267–1284.",yes,paper,Von Holzen,eye-tracking,testOnly,looking_while_listening,llk,within_two,24mos,British English,native,typical,,,24,,,,,0.458,,757.956,24.9,715.34,858.408,,143.068,,consonant_misp,misp,,,-129,384,,,,,,,no,,,,,,,24,0.666666667,,"bath, bib, bike, bird, boot, brush, bus, coat, cup, dog, doll, face, fish, frog, girl, goose, juice, leg, milk, mouse, mouth, plane, plate, sheep, shirt, shorts, sink, slide, swing, watch",yes,1,consonant,onset,no,Look! X! (no article),familiar_familiar,rhyme,400,pre_post,2.75,2.75,5.5,photo,NA
4,Bailey & Plunkett (2002),1,2off_24mos_recent,0,1,"Bailey, T. M., & Plunkett, K. (2002). Phonological specificity in early words. Cognitive Development, 17, 1267–1284.",yes,paper,Von Holzen,eye-tracking,testOnly,looking_while_listening,llk,within_two,24mos,British English,native,typical,,,24,,,,,0.458,,757.956,24.9,715.34,858.408,,143.068,,consonant_misp,misp,,,14,344,,,,,,,no,,,,,,,24,0.666666667,,"bath, bib, bike, bird, boot, brush, bus, coat, cup, dog, doll, face, fish, frog, girl, goose, juice, leg, milk, mouse, mouth, plane, plate, sheep, shirt, shorts, sink, slide, swing, watch",yes,2,consonant,onset,no,Look! X! (no article),familiar_familiar,rhyme,400,pre_post,2.75,2.75,5.5,photo,NA
5,Swingley (2009),2A,correct_onset,1,0,"Swingley, D. (2009). Onset and codas in 1.5-year-olds’ word recognition. Journal of Memory and Language, 60, 252–269.",yes,paper,Von Holzen,eye-tracking,testOnly,looking_while_listening,ptl,within_one,2A,American English,native,typical,,,60,,29,,27,0.5,,540,17.73981603,447,665,,218,,correct,correct,,,61.2,50,10.96,,,,percent_post,50,no,7.8919,,,,,,24,0.5,,"boat, poat book, dook cup, gup dog, bog duck, guck sock, zock",yes,0,consonant,onset,yes,Where's the X? Do you like it? or Can you find it?,familiar_familiar,no,367,post,2,2,6,photo,gray
5,Swingley (2009),2A,MP_onset,0,1,"Swingley, D. (2009). Onset and codas in 1.5-year-olds’ word recognition. Journal of Memory and Language, 60, 252–269.",yes,paper,Von Holzen,eye-tracking,testOnly,looking_while_listening,ptl,within_one,2A,American English,native,typical,,,60,,29,,27,0.5,,540,17.73981603,447,665,,218,,consonant_misp,misp,,,52.3,50,11.3,,,,percent_post,50,no,1.6018,4.5005,,,,,24,0.5,,"boat, poat book, dook cup, gup dog, bog duck, guck sock, zock",yes,1,consonant,onset,yes,Where's the X? Do you like it? or Can you find it?,familiar_familiar,no,367,post,2,2,6,photo,gray
5,Swingley (2009),2B,correct_offset,1,0,"Swingley, D. (2009). Onset and codas in 1.5-year-olds’ word recognition. Journal of Memory and Language, 60, 252–269.",yes,paper,Von Holzen,eye-tracking,testOnly,looking_while_listening,ptl,within_one,2B,American English,native,typical,,,36,,18,,17,0.5,,531,17.44415243,428,670,,242,,correct,correct,,,67,50,12.29,,,,percent_post,50,no,8.3022,,,,,,24,0.5,,boat boad; book boop; cup cub; dog dawb; duck dut; sock sog,yes,0,consonant,offset,yes,Where's the X? Do you like it? or Can you find it?,familiar_familiar,no,1133,post,2,2.767,6,photo,gray
5,Swingley (2009),2B,MP_offset,0,1,"Swingley, D. (2009). Onset and codas in 1.5-year-olds’ word recognition. Journal of Memory and Language, 60, 252–269.",yes,paper,Von Holzen,eye-tracking,testOnly,looking_while_listening,ptl,within_one,2B,American English,native,typical,,,36,,18,,17,0.5,,531,17.44415243,428,670,,242,,consonant_misp,misp,,,60.18,50,10.68,,,,percent_post,50,no,5.7195,2.719372,,,,,24,0.5,,boat boad; book boop; cup cub; dog dawb; duck dut; sock sog,yes,1,consonant,offset,yes,Where's the X? Do you like it? or Can you find it?,familiar_familiar,no,1133,post,2,2.767,6,photo,gray
